AvgSWE,year,month
4.909677419354838,2015,12
8.506451612903225,2016,1
11.813793103448276,2016,2
14.061290322580644,2016,3
15.823333333333332,2016,4
11.861290322580645,2016,5
1.3633333333333333,2016,6
0.0,2016,7
0.0,2016,8
0.0033333333333333335,2016,9
0.2161290322580645,2016,10
2.5566666666666666,2016,11
5.429032258064517,2016,12
11.85483870967742,2017,1
15.546428571428573,2017,2
17.20967741935484,2017,3
15.336666666666666,2017,4
10.077419354838709,2017,5
1.5766666666666667,2017,6
0.0,2017,7
0.0,2017,8
0.020000000000000004,2017,9
0.05161290322580645,2017,10
0.5700000000000001,2017,11
5.122580645161291,2017,12
5.648387096774194,2018,1
8.692857142857143,2018,2
11.193548387096774,2018,3
12.966666666666667,2018,4
5.393548387096774,2018,5
0.07,2018,6
0.0,2018,7
0.0,2018,8
0.0,2018,9
0.6290322580645161,2018,10
1.6566666666666667,2018,11
3.1225806451612903,2018,12
8.770967741935483,2019,1
12.62857142857143,2019,2
18.993548387096773,2019,3
19.67,2019,4
15.548387096774194,2019,5
6.016666666666667,2019,6
0.21935483870967742,2019,7
0.0,2019,8
0.0,2019,9
0.8354838709677419,2019,10
2.9566666666666666,2019,11
5.880645161290323,2019,12
8.83548387096774,2020,1
12.775862068965518,2020,2
15.783870967741937,2020,3
16.953333333333333,2020,4
7.699999999999999,2020,5
0.25,2020,6
0.0,2020,7
0.0,2020,8
0.04,2020,9
0.6096774193548387,2020,10
2.6166666666666667,2020,11
5.883870967741935,2020,12
5.948387096774193,2021,1
9.360714285714286,2021,2
12.48709677419355,2021,3
12.2,2021,4
6.196774193548387,2021,5
0.22666666666666666,2021,6
0.0,2021,7
0.0,2021,8
0.0,2021,9
0.15806451612903227,2021,10
1.8333333333333333,2021,11
3.8225806451612905,2021,12
10.119354838709677,2022,1
11.364285714285714,2022,2
14.2,2022,3
14.726666666666667,2022,4
6.761290322580645,2022,5
0.44333333333333336,2022,6
0.0,2022,7
0.0,2022,8
0.0,2022,9
0.4645161290322581,2022,10
1.8166666666666667,2022,11
4.187096774193549,2022,12
